# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 2425279124613
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ....................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  GWA              libCling.so           [.] getDirectoryFromFile(clang::FileManager&, llvm::StringRef, bool)
     0.00%  GWA              libCling.so           [.] clang::CodeGen::CodeGenModule::Release()
     0.00%  GWA              libCling.so           [.] clang::ASTReader::getGlobalMacroID(clang::serialization::ModuleFile&, unsigned int)
     0.00%  GWA              libCling.so           [.] llvm::X86FrameLowering::emitPrologue(llvm::MachineFunction&, llvm::MachineBasicBlock&) const
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000027f9
     0.00%  GWA              [kernel.kallsyms]     [k] enqueue_task
     0.00%  GWA              [kernel.kallsyms]     [k] next_expiry_recalc
     0.00%  GWA              [kernel.kallsyms]     [k] usb_giveback_urb_bh
     0.00%  GWA              [kernel.kallsyms]     [k] __tasklet_schedule_common
     0.00%  GWA              libMinuit2.so         [.] operator new(unsigned long)@plt
     0.00%  GWA              GWA                   [.] std::_Rb_tree_decrement(std::_Rb_tree_node_base*)@plt
     0.00%  GWA              [kernel.kallsyms]     [k] task_work_add
     0.00%  GWA              [kernel.kallsyms]     [k] __tcp_transmit_skb
     0.00%  GWA              [kernel.kallsyms]     [k] migrate_task_rq_fair
     0.00%  GWA              [kernel.kallsyms]     [k] process_bulk_intr_td.isra.0
     0.00%  GWA              [kernel.kallsyms]     [k] _nv039934rm
     0.00%  GWA              [kernel.kallsyms]     [k] __usb_hcd_giveback_urb
     0.00%  GWA              GWA                   [.] channel::setCouplings(std::vector<double, std::allocator<double> >)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::ReadSourceLocation(clang::serialization::ModuleFile&, llvm::SmallVectorImpl<unsigned long> const&, unsigned int&)
     0.00%  GWA              [kernel.kallsyms]     [k] __pte_offset_map
     0.00%  GWA              [kernel.kallsyms]     [k] copy_from_kernel_nofault
     0.00%  GWA              [kernel.kallsyms]     [k] __tlb_remove_page_size
     0.00%  GWA              libCling.so           [.] TCling::RegisterModule(char const*, char const**, char const**, char const*, char const*, void (*)(), std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int> > > const&, char const**, bool, bool)
     0.00%  GWA              libm.so.6             [.] __log1p_ifunc@plt
     0.00%  GWA              libCling.so           [.] clang::ContinuousRangeMap<unsigned int, int, 2u>::Builder::~Builder()
     0.00%  GWA              libCling.so           [.] operator delete(void*, unsigned long)@plt
     0.00%  GWA              libCling.so           [.] llvm::isLegalUTF8String(unsigned char const**, unsigned char const*)
     0.00%  GWA              libc.so.6             [.] __GI___fstatat64
     0.00%  GWA              libCling.so           [.] llvm::StringSwitch<clang::MMToken::TokenKind, clang::MMToken::TokenKind>::Case(llvm::StringLiteral, clang::MMToken::TokenKind)
     0.00%  GWA              [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::CXXNameMangler::manglePrefix(clang::DeclContext const*, bool)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000003d9d
     0.00%  GWA              libz.so.1.3           [.] 0x000000000000255f
     0.00%  GWA              libz.so.1.3           [.] uncompress2
     0.00%  GWA              [kernel.kallsyms]     [k] ip_protocol_deliver_rcu
     0.00%  GWA              libCling.so           [.] llvm::Twine::toStringRef(llvm::SmallVectorImpl<char>&) const
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002da7
     0.00%  ldd              [kernel.kallsyms]     [k] sigprocmask
     0.00%  ldd              bash                  [.] dequote_string
     0.00%  GWA              libCling.so           [.] clang::SourceManager::createExpansionLocImpl(clang::SrcMgr::ExpansionInfo const&, unsigned int, int, unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] access_error
     0.00%  GWA              libCling.so           [.] clang::SourceManager::SourceManager(clang::DiagnosticsEngine&, clang::FileManager&, bool)
     0.00%  GWA              [kernel.kallsyms]     [k] post_alloc_hook
     0.00%  GWA              [kernel.kallsyms]     [k] vmap_small_pages_range_noflush
     0.00%  GWA              libCling.so           [.] llvm::MemoryBuffer::getMemBufferCopy(llvm::StringRef, llvm::Twine const&)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000003c87
     0.00%  GWA              libCling.so           [.] clang::StringLiteralParser::init(llvm::ArrayRef<clang::Token>)
     0.00%  GWA              [kernel.kallsyms]     [k] vfs_getattr_nosec
     0.00%  GWA              [kernel.kallsyms]     [k] folio_add_lru_vma
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000025e1
     0.00%  GWA              libCling.so           [.] KeepNParams(clang::QualType&, clang::QualType const&, cling::Interpreter const&, ROOT::TMetaUtils::TNormalizedCtxt const&)
     0.00%  GWA              [kernel.kallsyms]     [k] folio_lruvec_lock_irqsave
     0.00%  GWA              libCling.so           [.] TCling::TypeName(char const*)
     0.00%  GWA              [kernel.kallsyms]     [k] aa_lookup_condperms
     0.00%  GWA              libCling.so           [.] llvm::DenseMap<llvm::Pass*, llvm::Pass*, llvm::DenseMapInfo<llvm::Pass*>, llvm::detail::DenseMapPair<llvm::Pass*, llvm::Pass*> >::grow(unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] pick_next_task_fair
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000027fc
     0.00%  GWA              libCore.so            [.] TStorage::UpdateIsOnHeap(unsigned int const volatile&, unsigned int volatile&)@plt
     0.00%  GWA              libCling.so           [.] lowerConstantIntrinsics(llvm::Function&, llvm::TargetLibraryInfo const*, llvm::DominatorTree*)
     0.00%  GWA              libCling.so           [.] llvm::opt::ArgList::getRange(std::initializer_list<llvm::opt::OptSpecifier>) const
     0.00%  GWA              libz.so.1.3           [.] 0x000000000000266b
     0.00%  GWA              libMinuit2.so         [.] ROOT::Minuit2::Numerical2PGradientCalculator::StepTolerance() const@plt
     0.00%  GWA              [kernel.kallsyms]     [k] xas_descend
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::RealFileSystem::openFileForRead(llvm::Twine const&)
     0.00%  GWA              libCling.so           [.] clang::Preprocessor::SkipExcludedConditionalBlock(clang::SourceLocation, clang::SourceLocation, bool, bool, clang::SourceLocation)
     0.00%  GWA              [kernel.kallsyms]     [k] apic_ack_edge
     0.00%  GWA              libCling.so           [.] clang::CodeGen::CodeGenModule::EmitGlobal(clang::GlobalDecl)
     0.00%  GWA              libCling.so           [.] llvm::ScheduleDAGSDNodes::EmitSchedule(llvm::MachineInstrBundleIterator<llvm::MachineInstr, false>&)::{lambda(llvm::SDNode*, bool, bool, llvm::DenseMap<llvm::SDValue, llvm::Register, llvm::DenseMapInfo<llvm::SDValue>, llvm::detail::DenseMapPair<llvm::SDValue, llvm::Register> >&)#1}::operator()(llvm::SDNode*, bool, bool, llvm::DenseMap<llvm::SDValue, llvm::Register, llvm::DenseMapInfo<llvm::SDValue>, llvm::detail::DenseMapPair<llvm::SDValue, llvm::Register> >&) const
     0.00%  GWA              [kernel.kallsyms]     [k] hid_field_extract
     0.00%  GWA              libCling.so           [.] clang::ExternalASTSource::SetExternalVisibleDeclsForName(clang::DeclContext const*, clang::DeclarationName, llvm::ArrayRef<clang::NamedDecl*>)
     0.00%  GWA              [kernel.kallsyms]     [k] __radix_tree_lookup
     0.00%  GWA              [kernel.kallsyms]     [k] handle_irq_event
     0.00%  GWA              libCling.so           [.] llvm::X86FrameLowering::emitEpilogue(llvm::MachineFunction&, llvm::MachineBasicBlock&) const
     0.00%  GWA              libCling.so           [.] clang::FileManager::getDirectoryRef(llvm::StringRef, bool)
     0.00%  GWA              libCling.so           [.] clang::SourceManager::getSLocEntryForFile(clang::FileID) const
     0.00%  GWA              [kernel.kallsyms]     [k] cpus_share_cache
     0.00%  GWA              [kernel.kallsyms]     [k] __local_bh_enable_ip
     0.00%  GWA              libCling.so           [.] clang::Lexer::LexIdentifier(clang::Token&, char const*)
     0.00%  GWA              libCling.so           [.] void std::vector<llvm::ELFRelocationEntry, std::allocator<llvm::ELFRelocationEntry> >::_M_realloc_insert<llvm::ELFRelocationEntry const&>(__gnu_cxx::__normal_iterator<llvm::ELFRelocationEntry*, std::vector<llvm::ELFRelocationEntry, std::allocator<llvm::ELFRelocationEntry> > >, llvm::ELFRelocationEntry const&)
     0.00%  GWA              [kernel.kallsyms]     [k] do_fault
     0.00%  GWA              [kernel.kallsyms]     [k] __msecs_to_jiffies
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002469
     0.00%  GWA              [kernel.kallsyms]     [k] cpu_util
     0.00%  GWA              [kernel.kallsyms]     [k] drm_crtc_handle_vblank
     0.00%  GWA              libCling.so           [.] clang::Preprocessor::ReadOptionalMacroParameterListAndBody(clang::Token const&, bool)
     0.00%  GWA              [kernel.kallsyms]     [k] tcp_v4_rcv
     0.00%  GWA              libMinuit2.so         [.] ROOT::Minuit2::MPIProcess::SyncVector(ROOT::Minuit2::LAVector&)
     0.00%  GWA              [kernel.kallsyms]     [k] hid_process_event
     0.00%  GWA              [kernel.kallsyms]     [k] fw_domains_put
     0.00%  GWA              [kernel.kallsyms]     [k] kthread_blkcg
     0.00%  GWA              libCling.so           [.] clang::serialization::DataStreamBasicReader<clang::ASTRecordReader>::readAPInt()
     0.00%  GWA              libCling.so           [.] clang::ASTReader::InterestingDecl& std::deque<clang::ASTReader::InterestingDecl, std::allocator<clang::ASTReader::InterestingDecl> >::emplace_back<clang::ASTReader::InterestingDecl>(clang::ASTReader::InterestingDecl&&) [clone .isra.0]
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::EmptySubobjectMap::UpdateEmptyFieldSubobjects(clang::FieldDecl const*, clang::CharUnits, bool)
     0.00%  GWA              libCling.so           [.] __gnu_cxx::__normal_iterator<clang::CommentHandler**, std::vector<clang::CommentHandler*, std::allocator<clang::CommentHandler*> > > std::__find_if<__gnu_cxx::__normal_iterator<clang::CommentHandler**, std::vector<clang::CommentHandler*, std::allocator<clang::CommentHandler*> > >, __gnu_cxx::__ops::_Iter_equals_val<clang::CommentHandler* const> >(__gnu_cxx::__normal_iterator<clang::CommentHandler**, std::vector<clang::CommentHandler*, std::allocator<clang::CommentHandler*> > >, __gnu_cxx::__normal_iterator<clang::CommentHandler**, std::vector<clang::CommentHandler*, std::allocator<clang::CommentHandler*> > >, __gnu_cxx::__ops::_Iter_equals_val<clang::CommentHandler* const>, std::random_access_iterator_tag) [clone .isra.0]
     0.00%  GWA              libCore.so            [.] TListOfDataMembers::Get(DataMemberInfo_t*, bool)
     0.00%  GWA              libCling.so           [.] memcpy@plt
     0.00%  GWA              [kernel.kallsyms]     [k] i915_gem_object_make_shrinkable
     0.00%  GWA              libCore.so            [.] TList::FindObject(char const*) const
     0.00%  GWA              [kernel.kallsyms]     [k] map_id_up
     0.00%  GWA              [kernel.kallsyms]     [k] ttwu_queue_wakelist
     0.00%  GWA              [kernel.kallsyms]     [k] hid_check_keys_pressed
     0.00%  GWA              libCling.so           [.] llvm::FoldingSetNodeID::ComputeHash() const
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000003c8b
     0.00%  GWA              libCling.so           [.] clang::TemplateArgument::isPackExpansion() const
     0.00%  GWA              libCling.so           [.] llvm::orc::SymbolStringPtr::operator=(llvm::orc::SymbolStringPtr const&) [clone .isra.0]
     0.00%  GWA              libCling.so           [.] cling::MultiplexInterpreterCallbacks::LookupObject(clang::DeclContext const*, clang::DeclarationName)
     0.00%  GWA              libCling.so           [.] clang::DeclContext::noload_lookup(clang::DeclarationName)
     0.00%  GWA              libCling.so           [.] llvm::DenseMapInfo<llvm::APInt>::getHashValue(llvm::APInt const&)
     0.00%  GWA              libstdc++.so.6.0.33   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned long)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002612
     0.00%  GWA              libCling.so           [.] isSameEntity(clang::NamedDecl*, clang::NamedDecl*) [clone .part.0]
     0.00%  GWA              [kernel.kallsyms]     [k] iwl_trans_pcie_write32
     0.00%  GWA              libstdc++.so.6.0.33   [.] __dynamic_cast
     0.00%  GWA              libCore.so            [.] TString::operator=(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.00%  GWA              libCore.so            [.] TClassEdit::CleanType[abi:cxx11](char const*, int, char const**)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000003e14
     0.00%  GWA              libCling.so           [.] llvm::ContextualFoldingSet<clang::TemplateSpecializationType, clang::ASTContext&>::NodeEquals(llvm::FoldingSetBase const*, llvm::FoldingSetBase::Node*, llvm::FoldingSetNodeID const&, unsigned int, llvm::FoldingSetNodeID&)
     0.00%  GWA              libCore.so            [.] TBuildRealData::Inspect(TClass*, char const*, char const*, void const*, bool)
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000027b7
     0.00%  GWA              [kernel.kallsyms]     [k] put_dec
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000024a0
     0.00%  GWA              libCling.so           [.] cling::StartParsingRAII::prepareForParsing(llvm::StringRef, llvm::StringRef, cling::LookupHelper::DiagSetting)
     0.00%  GWA              libCling.so           [.] clang::Sema::computeDeclContext(clang::CXXScopeSpec const&, bool)
     0.00%  GWA              libCling.so           [.] cling::DeclCollector::HandleInterestingDecl(clang::DeclGroupRef)
     0.00%  GWA              libCling.so           [.] clang::ModuleMapParser::parseModuleId(llvm::SmallVector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, clang::SourceLocation>, 2u>&)
     0.00%  GWA              libCling.so           [.] cling::IncrementalParser::endTransaction(cling::Transaction*)
     0.00%  GWA              libc.so.6             [.] __strcmp_avx2
     0.00%  GWA              [kernel.kallsyms]     [k] lockref_get_not_dead
     0.00%  GWA              libCling.so           [.] TCling::CreateListOfBaseClasses(TClass*) const
     0.00%  GWA              libCling.so           [.] clang::FunctionProtoType::getExtProtoInfo() const
     0.00%  GWA              libCling.so           [.] clang::LangOptions::LangOptions(clang::LangOptions const&)
     0.00%  GWA              libCling.so           [.] clang::LookupResult::configure()
     0.00%  GWA              [kernel.kallsyms]     [k] _nv030818rm
     0.00%  GWA              libCling.so           [.] clang::ASTReader::readInputFileInfo(clang::serialization::ModuleFile&, unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] validate_xmit_xfrm
     0.00%  GWA              libCling.so           [.] clang::ASTReader::getGlobalTypeID(clang::serialization::ModuleFile&, unsigned int) const
     0.00%  GWA              libCling.so           [.] clang::RecordDecl::LoadFieldsFromExternalStorage() const
     0.00%  GWA              libCling.so           [.] clang::ASTContext::addLazyModuleInitializers(clang::Module*, llvm::ArrayRef<unsigned int>)
     0.00%  GWA              libCling.so           [.] clang::Decl::setDeclContext(clang::DeclContext*)
     0.00%  GWA              libCling.so           [.] clang::ASTDeclReader::VisitClassTemplateDecl(clang::ClassTemplateDecl*)
     0.00%  GWA              [kernel.kallsyms]     [k] vma_alloc_folio
     0.00%  GWA              libCling.so           [.] clang::ModuleMapParser::parseModuleDecl()
     0.00%  GWA              [kernel.kallsyms]     [k] schedule
     0.00%  GWA              libCling.so           [.] llvm::SmallPtrSetImplBase::insert_imp_big(void const*)
     0.00%  GWA              [kernel.kallsyms]     [k] do_readlinkat
     0.00%  GWA              libCling.so           [.] clang::ASTDeclReader::RedeclarableResult clang::ASTDeclReader::VisitRedeclarable<clang::TagDecl>(clang::Redeclarable<clang::TagDecl>*)
     0.00%  GWA              libCling.so           [.] clang::TypeLocReader::VisitFunctionTypeLoc(clang::FunctionTypeLoc)
     0.00%  GWA              [kernel.kallsyms]     [k] file_path
     0.00%  GWA              libCling.so           [.] clang::Lexer::LexTokenInternal(clang::Token&, bool)
     0.00%  GWA              libCling.so           [.] clang::Sema::SaveNestedNameSpecifierAnnotation(clang::CXXScopeSpec&)
     0.00%  GWA              libCling.so           [.] clang::Sema::getLookupModules()
     0.00%  GWA              libCling.so           [.] clang::StmtVisitorBase<llvm::make_const_ptr, (anonymous namespace)::IntExprEvaluator, bool>::Visit(clang::Stmt const*)
     0.00%  GWA              GWA                   [.] channel::getCouplings()
     0.00%  GWA              libCling.so           [.] llvm::vfs::RedirectingFileSystem::lookupPathImpl(llvm::sys::path::const_iterator, llvm::sys::path::const_iterator, llvm::vfs::RedirectingFileSystem::Entry*) const
     0.00%  GWA              [kernel.kallsyms]     [k] apparmor_inode_getattr
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002805
     0.00%  GWA              libCling.so           [.] clang::TemplateSpecializationType::TemplateSpecializationType(clang::TemplateName, llvm::ArrayRef<clang::TemplateArgument>, clang::QualType, clang::QualType)
     0.00%  GWA              libc.so.6             [.] __posix_memalign
     0.00%  GWA              libCling.so           [.] clang::ASTDeclReader::ReadFunctionDefinition(clang::FunctionDecl*)
     0.00%  GWA              libCling.so           [.] clang::ASTDeclReader::VisitVarDeclImpl(clang::VarDecl*)
     0.00%  GWA              libCling.so           [.] clang::Token::setAnnotationEndLoc(clang::SourceLocation)
     0.00%  GWA              libCling.so           [.] clang::FunctionDecl::FunctionDecl(clang::Decl::Kind, clang::ASTContext&, clang::DeclContext*, clang::SourceLocation, clang::DeclarationNameInfo const&, clang::QualType, clang::TypeSourceInfo*, clang::StorageClass, bool, clang::ConstexprSpecKind, clang::Expr*)
     0.00%  GWA              libCore.so            [.] TClass::InheritsFrom(TClass const*) const
     0.00%  GWA              [kernel.kallsyms]     [k] handle_pte_fault
     0.00%  GWA              libCling.so           [.] clang::Sema::DiagnoseUseOfDecl(clang::NamedDecl*, llvm::ArrayRef<clang::SourceLocation>, clang::ObjCInterfaceDecl const*, bool, bool, clang::ObjCInterfaceDecl*)
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::CXXNameMangler::writeAbiTags(clang::NamedDecl const*, llvm::SmallVector<llvm::StringRef, 4u> const*)
     0.00%  GWA              libCling.so           [.] clang::DeclContext::classof(clang::Decl const*)
     0.00%  GWA              libCling.so           [.] clang::LValueReferenceTypeLoc clang::TypeLoc::castAs<clang::LValueReferenceTypeLoc>() const
     0.00%  GWA              [kernel.kallsyms]     [k] cancel_timer
     0.00%  GWA              libCling.so           [.] llvm::sys::path::parent_path(llvm::StringRef, llvm::sys::path::Style)
     0.00%  GWA              libCling.so           [.] clang::Preprocessor::ResolvePragmaIncludeInstead(clang::SourceLocation) const [clone .part.0]
     0.00%  GWA              libCling.so           [.] bool llvm::DenseMapBase<llvm::DenseMap<clang::RecordDecl const*, clang::ASTRecordLayout const*, llvm::DenseMapInfo<clang::RecordDecl const*>, llvm::detail::DenseMapPair<clang::RecordDecl const*, clang::ASTRecordLayout const*> >, clang::RecordDecl const*, clang::ASTRecordLayout const*, llvm::DenseMapInfo<clang::RecordDecl const*>, llvm::detail::DenseMapPair<clang::RecordDecl const*, clang::ASTRecordLayout const*> >::LookupBucketFor<clang::RecordDecl const*>(clang::RecordDecl const* const&, llvm::detail::DenseMapPair<clang::RecordDecl const*, clang::ASTRecordLayout const*> const*&) const
     0.00%  GWA              [kernel.kallsyms]     [k] policy_nodemask
     0.00%  GWA              libCling.so           [.] clang::HeaderSearch::~HeaderSearch()
     0.00%  GWA              libc.so.6             [.] __strchrnul_ifunc@plt
     0.00%  GWA              libCling.so           [.] llvm::X86RegisterInfo::getReservedRegs(llvm::MachineFunction const&) const
     0.00%  GWA              libCling.so           [.] llvm::opt::Option::matches(llvm::opt::OptSpecifier) const
     0.00%  GWA              libCore.so            [.] TString::Index(char const*, int, int, TString::ECaseCompare) const
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::MachineCopyPropagation::runOnMachineFunction(llvm::MachineFunction&)
     0.00%  GWA              [kernel.kallsyms]     [k] putname
     0.00%  GWA              libCore.so            [.] TString::AssertElement(int) const
     0.00%  GWA              libCling.so           [.] clang::SourceManager::~SourceManager()
     0.00%  GWA              libz.so.1.3           [.] inflateResetKeep
     0.00%  GWA              libCore.so            [.] R__FindTrailing(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) [clone .constprop.0]
     0.00%  GWA              libCling.so           [.] GetFullTypeForDeclarator((anonymous namespace)::TypeProcessingState&, clang::QualType, clang::TypeSourceInfo*)
     0.00%  GWA              libCling.so           [.] llvm::LivePhysRegs::addPristines(llvm::MachineFunction const&)
     0.00%  GWA              libCling.so           [.] clang::FileEntry::FileEntry()
     0.00%  GWA              libCling.so           [.] llvm::MCSymbolRefExpr::create(llvm::MCSymbol const*, llvm::MCSymbolRefExpr::VariantKind, llvm::MCContext&, llvm::SMLoc)
     0.00%  GWA              libCling.so           [.] clang::DeclContext::getPrimaryContext()
     0.00%  GWA              libCling.so           [.] llvm::ScheduleDAGSDNodes::EmitSchedule(llvm::MachineInstrBundleIterator<llvm::MachineInstr, false>&)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::GetExistingDecl(unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] intel_engine_add_retire
     0.00%  GWA              libCling.so           [.] clang::HeaderSearch::LookupFile(llvm::StringRef, clang::SourceLocation, bool, clang::DirectoryLookup const*, clang::DirectoryLookup const*&, llvm::ArrayRef<std::pair<clang::FileEntry const*, clang::DirectoryEntry const*> >, llvm::SmallVectorImpl<char>*, llvm::SmallVectorImpl<char>*, clang::Module*, clang::ModuleMap::KnownHeader*, bool*, bool*, bool, bool, bool, bool)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002778
     0.00%  GWA              [kernel.kallsyms]     [k] rcu_note_context_switch
     0.00%  GWA              libCling.so           [.] clang::ASTContext::getASTRecordLayout(clang::RecordDecl const*) const
     0.00%  GWA              libCling.so           [.] llvm::BlockFrequencyInfoImplBase::distributeMass(llvm::BlockFrequencyInfoImplBase::BlockNode const&, llvm::BlockFrequencyInfoImplBase::LoopData*, llvm::BlockFrequencyInfoImplBase::Distribution&)
     0.00%  GWA              GWA                   [.] channel::getMasses()
     0.00%  GWA              libCore.so            [.] Hash(char const*)
     0.00%  GWA              [kernel.kallsyms]     [k] dev_hard_start_xmit
     0.00%  GWA              [kernel.kallsyms]     [k] hid_input_fetch_field
     0.00%  GWA              libCling.so           [.] clang::CodeGen::VarBypassDetector::BuildScopeInformation(clang::Stmt const*, unsigned int&)
     0.00%  GWA              libCling.so           [.] clang::CodeGen::CodeGenFunction::EmitCompoundStmtWithoutScope(clang::CompoundStmt const&, bool, clang::CodeGen::AggValueSlot)
     0.00%  GWA              [kernel.kallsyms]     [k] __ext4_check_dir_entry
     0.00%  GWA              libCling.so           [.] clang::driver::tools::Clang::ConstructJob(clang::driver::Compilation&, clang::driver::JobAction const&, clang::driver::InputInfo const&, llvm::SmallVector<clang::driver::InputInfo, 4u> const&, llvm::opt::ArgList const&, char const*) const
     0.00%  GWA              libCling.so           [.] clang::serialization::ModuleManager::lookupModuleFile(llvm::StringRef, long, long, llvm::Optional<clang::FileEntryRef>&)
     0.00%  GWA              [kernel.kallsyms]     [k] consume_stock
     0.00%  GWA              libCling.so           [.] clang::SavedStreamPosition::~SavedStreamPosition()
     0.00%  GWA              libCore.so            [.] TUnixSystem::FindFile(char const*, TString&, EAccessMode)
     0.00%  GWA              [kernel.kallsyms]     [k] call_timer_fn
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002dc2
     0.00%  GWA              libCling.so           [.] clang::DiagnosticsEngine::DiagStateMap::getFile(clang::SourceManager&, clang::FileID) const
     0.00%  GWA              libRIO.so             [.] TStreamerInfo::Compile()
     0.00%  GWA              [kernel.kallsyms]     [k] pte_offset_map_nolock
     0.00%  GWA              libCling.so           [.] clang::Sema::getPrintingPolicy(clang::ASTContext const&, clang::Preprocessor const&)
     0.00%  GWA              libCling.so           [.] clang::serialization::ModuleManager::addModule(llvm::StringRef, clang::serialization::ModuleKind, clang::SourceLocation, clang::serialization::ModuleFile*, unsigned int, long, long, clang::ASTFileSignature, clang::ASTFileSignature (*)(llvm::StringRef), clang::serialization::ModuleFile*&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::ReadControlBlock(clang::serialization::ModuleFile&, llvm::SmallVectorImpl<clang::ASTReader::ImportedModule>&, clang::serialization::ModuleFile const*, unsigned int)
     0.00%  GWA              libCling.so           [.] clang::Sema::PopExpressionEvaluationContext()
     0.00%  GWA              libCling.so           [.] llvm::DataLayout::reset(llvm::StringRef)
     0.00%  GWA              libCling.so           [.] std::pair<llvm::StringMapIterator<llvm::ErrorOr<clang::FileEntryRef::MapValue> >, bool> llvm::StringMap<llvm::ErrorOr<clang::FileEntryRef::MapValue>, llvm::BumpPtrAllocatorImpl<llvm::MallocAllocator, 4096ul, 4096ul, 128ul> >::try_emplace<llvm::ErrorOr<clang::FileEntryRef::MapValue> >(llvm::StringRef, llvm::ErrorOr<clang::FileEntryRef::MapValue>&&)
     0.00%  GWA              libCling.so           [.] clang::getClangToolFullVersion[abi:cxx11](llvm::StringRef)
     0.00%  GWA              [kernel.kallsyms]     [k] do_dentry_open
     0.00%  GWA              libc.so.6             [.] pthread_once@GLIBC_2.2.5
     0.00%  GWA              libCling.so           [.] clang::MangleContext::shouldMangleDeclName(clang::NamedDecl const*)
     0.00%  GWA              [kernel.kallsyms]     [k] security_current_getlsmblob_subj
     0.00%  GWA              libCling.so           [.] llvm::SelectionDAGISel::~SelectionDAGISel()
     0.00%  GWA              libCling.so           [.] llvm::MachineFunction::finalizeDebugInstrRefs()
     0.00%  GWA              libCling.so           [.] llvm::DenseMapBase<llvm::DenseMap<llvm::BasicBlock*, std::unique_ptr<llvm::DomTreeNodeBase<llvm::BasicBlock>, std::default_delete<llvm::DomTreeNodeBase<llvm::BasicBlock> > >, llvm::DenseMapInfo<llvm::BasicBlock*>, llvm::detail::DenseMapPair<llvm::BasicBlock*, std::unique_ptr<llvm::DomTreeNodeBase<llvm::BasicBlock>, std::default_delete<llvm::DomTreeNodeBase<llvm::BasicBlock> > > > >, llvm::BasicBlock*, std::unique_ptr<llvm::DomTreeNodeBase<llvm::BasicBlock>, std::default_delete<llvm::DomTreeNodeBase<llvm::BasicBlock> > >, llvm::DenseMapInfo<llvm::BasicBlock*>, llvm::detail::DenseMapPair<llvm::BasicBlock*, std::unique_ptr<llvm::DomTreeNodeBase<llvm::BasicBlock>, std::default_delete<llvm::DomTreeNodeBase<llvm::BasicBlock> > > > >::clear()
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::X86DAGToDAGISel::PreprocessISelDAG()
     0.00%  GWA              [kernel.kallsyms]     [k] perf_event_mmap_event
     0.00%  GWA              libCling.so           [.] clang::Parser::ParseFunctionDefinition(clang::ParsingDeclarator&, clang::Parser::ParsedTemplateInfo const&, clang::Parser::LateParsedAttrList*)
     0.00%  GWA              libCling.so           [.] std::map<llvm::StringRef, clang::GlobalDecl, std::less<llvm::StringRef>, std::allocator<std::pair<llvm::StringRef const, clang::GlobalDecl> > >::operator[](llvm::StringRef const&)
     0.00%  GWA              libCling.so           [.] llvm::LivePhysRegs::addUses(llvm::MachineInstr const&)
     0.00%  GWA              libCling.so           [.] isSafeToConvert(clang::RecordDecl const*, clang::CodeGen::CodeGenTypes&, llvm::SmallPtrSet<clang::RecordDecl const*, 16u>&)
